Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
455,270701,60,17.43,2337,22.94
456,271323,70,18.93,2343,22.51
457,272815,51,15.86,2348,22.40
458,273917,112,22.94,2353,22.51
459,274168,99,21.91,2358,22.72
460,274380,78,19.92,2363,22.83
461,274983,198,33.69,2368,22.72
462,275427,83,20.46,2373,22.62
463,275725,83,20.46,2378,22.62
464,277685,159,27.66,2383,22.40
465,278600,98,21.83,2388,22.62
466,278787,63,17.91,2393,22.62
467,279030,70,18.93,2399,22.62
468,280029,255,43.96,2405,22.72
469,280047,60,17.43,2410,22.72
470,282039,99,21.91,2416,22.62
471,282520,242,41.58,2421,22.51
472,282963,71,19.06,2427,22.62
473,283167,211,35.96,2432,22.72
474,283185,67,18.51,2437,22.51
475,283239,74,19.44,2443,22.40
476,283289,318,57.28,2448,22.62
477,283774,497,142.37,2453,22.72
478,283863,92,21.32,2459,22.62
479,284426,114,23.10,2464,22.51
480,284504,327,59.28,2469,22.72
481,285179,184,31.36,2474,22.72
482,286413,83,20.46,2479,22.51
483,287022,255,43.96,2484,22.72
484,287079,117,23.34,2489,22.51
485,287791,56,16.76,2495,22.62
486,287896,448,112.41,2500,22.40
487,287959,51,15.86,2505,22.51
488,289095,225,38.48,2510,22.62
489,290408,124,23.92,2515,22.51
490,290433,71,19.06,2521,22.72
491,290630,76,19.69,2527,22.62
492,291156,396,85.28,2532,22.51
493,292801,355,68.30,2537,22.72
494,293772,51,15.86,2542,22.72
495,294169,110,22.78,2547,22.51
496,294433,159,27.66,2552,22.72
497,294568,133,24.73,2557,22.72
498,294738,472,125.87,2563,22.72
499,295229,63,17.91,2569,22.72
500,295883,92,21.32,2575,20.90
501,295920,81,20.25,2580,21.11
502,295989,152,26.78,2585,21.22
503,296368,125,24.00,2590,21.54
504,297399,67,18.51,2596,22.72
505,297482,625,226.08,2602,22.51
506,297497,78,19.92,2607,22.62
507,297538,175,29.94,2612,22.62
508,298303,294,51.51,2617,22.62
509,298626,53,16.22,2622,22.72
510,298662,53,16.22,2627,22.51
511,298793,90,21.14,2632,22.72
