Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
535,274130,204,34.73,2743,23.15
536,274152,63,17.91,2748,23.05
537,274817,236,40.44,2754,23.15
538,275692,492,134.92,2760,23.15
539,276887,83,20.46,2766,23.15
540,276951,53,16.22,2771,23.15
541,277041,174,29.79,2776,23.15
542,277066,96,21.67,2781,23.15
543,278513,345,64.98,2786,23.15
544,278915,243,41.74,2791,23.15
545,279220,199,33.86,2797,23.15
546,279928,193,32.84,2802,23.05
547,280162,105,22.39,2807,23.15
548,280963,271,46.93,2812,23.15
549,280995,71,19.06,2818,23.05
550,281161,99,21.91,2823,23.05
551,281186,317,56.91,2828,23.15
552,281529,71,19.06,2833,23.15
553,281723,114,23.10,2838,23.15
554,281998,71,19.06,2843,23.15
555,282123,51,15.86,2848,23.05
556,283245,71,19.06,2853,23.05
557,283566,76,19.69,2858,23.15
558,284769,302,53.30,2863,23.15
559,285176,145,25.96,2868,23.15
560,285785,226,38.63,2874,23.15
561,285904,89,21.05,2879,23.05
562,287076,53,16.22,2884,23.26
563,287575,103,22.23,2889,23.37
564,288825,62,17.75,2894,23.15
565,289076,583,201.26,2900,23.15
566,289245,112,22.94,2905,23.15
567,289399,96,21.67,2910,23.15
568,289678,207,35.26,2915,23.15
569,289795,78,19.92,2920,23.15
570,292510,110,22.78,2925,23.15
571,292684,158,27.53,2930,23.15
572,292919,231,39.55,2935,23.15
573,292933,63,17.91,2940,23.15
574,292944,96,21.67,2946,23.15
575,293026,463,119.23,2959,23.15
576,293267,96,21.67,2964,23.37
577,294014,96,21.67,2969,23.15
578,294368,93,21.41,2974,23.15
579,294538,83,20.46,2979,23.15
580,295051,435,104.92,2984,23.15
581,295130,51,15.86,2989,23.15
582,295473,71,19.06,2994,23.15
583,295526,88,20.96,2999,23.15
584,295815,113,23.02,3004,23.37
585,296556,227,38.83,3009,23.15
586,297199,76,19.69,3014,23.15
587,298174,89,21.05,3019,23.15
588,298764,49,15.48,3024,23.15
589,299707,60,17.43,3029,23.15
590,300116,280,48.67,3035,23.15
591,300427,51,15.86,3041,23.15
592,301121,115,23.18,3046,23.15
593,301161,51,15.86,3051,23.15
594,301463,56,16.76,3056,23.05
595,301672,96,21.67,3061,23.15
596,302404,131,24.54,3066,23.15
597,302991,280,48.67,3072,23.15
598,304531,275,47.73,3078,23.15
599,306147,167,28.76,3084,23.15
600,307523,444,109.09,3089,23.15
601,307979,184,31.36,3094,23.05
602,308137,131,24.54,3099,23.05
603,308153,50,15.67,3105,23.15
