Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
656,299565,344,64.67,3383,23.37
657,300210,62,17.75,3388,23.15
658,300412,62,17.75,3394,23.15
659,300694,60,17.43,3400,23.37
660,300768,63,17.91,3406,23.37
661,301342,92,21.32,3412,23.48
662,301627,63,17.91,3417,23.58
663,301923,241,41.39,3423,23.48
664,301956,60,17.43,3429,23.15
665,302220,359,69.86,3435,23.58
666,302799,61,17.60,3440,23.48
667,303006,287,50.23,3446,23.15
668,303037,79,20.03,3451,23.37
669,303490,541,165.02,3456,23.80
670,303599,67,18.51,3462,23.15
671,305446,137,25.12,3468,23.37
672,305501,156,27.28,3474,23.15
673,306198,81,20.25,3479,23.37
674,306270,98,21.83,3484,23.48
675,306408,49,15.48,3489,23.58
676,307004,51,15.86,3495,23.48
677,308103,115,23.18,3500,23.15
678,308175,71,19.06,3505,23.48
679,308308,153,26.90,3510,23.37
680,308524,86,20.77,3515,23.69
681,310960,88,20.96,3520,23.80
682,311389,432,101.61,3525,23.48
683,311549,51,15.86,3530,23.48
684,311753,88,20.96,3535,23.58
685,312073,57,16.93,3540,23.37
686,312334,71,19.06,3545,23.37
687,312876,101,22.08,3550,23.37
688,314007,92,21.32,3555,23.15
689,314066,536,160.18,3560,23.37
690,314214,127,24.18,3566,23.15
691,314491,51,15.86,3571,23.15
692,315173,63,17.91,3576,23.37
693,315495,390,82.70,3582,23.15
694,315646,51,15.86,3587,23.37
695,315688,176,30.09,3592,23.37
696,316164,63,17.91,3597,23.15
697,316252,70,18.93,3603,23.48
698,316354,81,20.25,3609,23.15
699,316528,121,23.66,3614,23.15
700,316891,117,23.34,3620,23.48
701,316903,227,38.83,3626,23.15
702,317502,63,17.91,3632,23.37
703,317596,124,23.92,3638,23.69
704,317689,79,20.03,3644,23.58
705,318125,117,23.34,3649,23.37
706,318471,140,25.42,3655,23.48
707,318685,57,16.93,3661,23.37
708,318779,58,17.10,3666,23.15
709,318857,49,15.48,3671,23.48
710,319037,332,61.17,3676,23.37
711,320249,78,19.92,3681,23.48
712,322792,158,27.53,3686,23.15
713,322942,79,20.03,3691,23.15
714,324085,96,21.67,3696,23.37
715,324290,96,21.67,3701,23.37
716,324381,90,21.14,3706,23.48
717,324939,504,143.61,3711,23.15
718,325195,88,20.96,3717,23.48
719,326495,89,21.05,3722,23.37
720,326624,75,19.57,3727,23.37
721,326978,96,21.67,3732,23.37
722,327252,79,20.03,3737,23.58
723,327792,339,62.98,3742,23.48
724,327806,271,46.93,3747,23.58
725,327931,60,17.43,3753,23.37
726,328081,56,16.76,3759,23.15
727,329291,54,16.41,3764,23.37
728,329630,63,17.91,3769,23.37
729,329924,49,15.48,3775,23.58
730,330404,94,21.50,3780,23.48
731,330894,399,87.30,3785,23.15
732,331297,355,68.30,3790,23.48
733,331629,76,19.69,3795,23.48
734,332013,432,101.61,3800,23.37
735,332917,56,16.76,3805,23.37
736,332960,82,20.36,3810,23.37
737,333022,143,25.74,3815,23.37
738,333401,99,21.91,3820,23.48
739,333807,50,15.67,3825,23.58
740,333882,152,26.78,3830,23.48
741,334235,242,41.58,3835,23.37
742,334251,487,132.65,3841,23.37
743,334700,229,39.22,3847,23.37
744,335572,89,21.05,3852,23.37
745,337236,281,48.90,3857,23.37
746,337418,227,38.83,3863,23.37
747,338604,58,17.10,3868,23.48
748,339607,51,15.86,3873,23.48
749,340450,719,344.94,3878,23.58
750,340723,224,38.29,3883,23.15
751,340799,263,45.37,3888,23.48
752,340862,135,24.92,3894,23.69
